order_id,order_date,customer_id,channel,region,sku,product_name,category,quantity,unit_price,discount_rate,line_revenue
500561,2024-01-01,CU2261,Web,France,SKU-302,55L Trek Pack,Packs,2,165.00,0.00,330.00
500561,2024-01-01,CU2261,Web,France,SKU-401,Headlamp 400,Accessories,2,34.00,0.00,68.00
500869,2024-01-02,CU2392,Marketplace,Netherlands,SKU-101,Trail Runner 2,Footwear,1,89.00,0.15,75.65
500869,2024-01-02,CU2392,Marketplace,Netherlands,SKU-401,Headlamp 400,Accessories,1,34.00,0.00,34.00
500624,2024-01-03,CU2290,Marketplace,Netherlands,SKU-102,Trail Runner Pro,Footwear,1,139.00,0.00,139.00
500040,2024-01-04,CU2019,Marketplace,Netherlands,SKU-301,28L Daypack,Packs,1,74.00,0.00,74.00
500145,2024-01-04,CU2062,Web,Netherlands,SKU-301,28L Daypack,Packs,1,74.00,0.10,66.60
500145,2024-01-04,CU2062,Web,Netherlands,SKU-402,Trekking Poles,Accessories,1,49.00,0.00,49.00
500545,2024-01-06,CU2253,Web,Germany,SKU-202,Rain Shell,Apparel,1,119.00,0.00,119.00
500477,2024-01-08,CU2220,Web,Netherlands,SKU-302,55L Trek Pack,Packs,1,165.00,0.00,165.00
500477,2024-01-08,CU2220,Web,Netherlands,SKU-201,Merino Base Layer,Apparel,1,59.00,0.00,59.00
500477,2024-01-08,CU2220,Web,Netherlands,SKU-102,Trail Runner Pro,Footwear,1,139.00,0.00,139.00
500661,2024-01-08,CU2308,Web,Belgium,SKU-202,Rain Shell,Apparel,1,119.00,0.00,119.00
500749,2024-01-08,CU2341,Web,Netherlands,SKU-302,55L Trek Pack,Packs,1,165.00,0.10,148.50
500441,2024-01-10,CU2205,Marketplace,United Kingdom,SKU-102,Trail Runner Pro,Footwear,3,139.00,0.00,417.00
500441,2024-01-10,CU2205,Marketplace,United Kingdom,SKU-301,28L Daypack,Packs,1,74.00,0.15,62.90
500307,2024-01-14,CU2150,Marketplace,Belgium,SKU-302,55L Trek Pack,Packs,1,165.00,0.00,165.00
500428,2024-01-14,CU2198,Web,France,SKU-102,Trail Runner Pro,Footwear,1,139.00,0.10,125.10
500849,2024-01-14,CU2383,Web,Belgium,SKU-201,Merino Base Layer,Apparel,1,59.00,0.00,59.00
500849,2024-01-14,CU2383,Web,Belgium,SKU-101,Trail Runner 2,Footwear,1,89.00,0.00,89.00
500275,2024-01-17,CU2135,Marketplace,Netherlands,SKU-401,Headlamp 400,Accessories,1,34.00,0.00,34.00
500297,2024-01-17,CU2145,Web,Netherlands,SKU-301,28L Daypack,Packs,1,74.00,0.00,74.00
